A-1 B-3 	 A-2 A-2 	 A: 1   	 B: 31  	 A Winners: [([A],1)]                      	 B Winners: [([A],3),([A,B],1),([B],5)]
A-1 B-3 	 A-2 A-3 	 A: 1   	 B: 27  	 A Winners: [([A],1)]                      	 B Winners: [([A],10)]
A-1 B-3 	 A-2 B-1 	 A: 15  	 B: 9   	 A Winners: [([A,B],2),([B],4)]            	 B Winners: [([B],2)]
A-1 B-3 	 A-2 B-2 	 A: 1   	 B: 17  	 A Winners: [([A,B],1)]                    	 B Winners: [([B],5)]
A-1 B-3 	 A-2 B-3 	 A: 1   	 B: 27  	 A Winners: [([A,B],1)]                    	 B Winners: [([B],11)]
A-1 B-3 	 A-3 A-1 	 A: 1   	 B: 73  	 A Winners: [([A],1)]                      	 B Winners: [([A],14),([A,B],8)]
A-1 B-3 	 A-3 A-2 	 A: 1   	 B: 65  	 A Winners: [([A],1)]                      	 B Winners: [([A],16),([A,B],1),([B],3)]
A-1 B-3 	 A-3 A-3 	 A: 1   	 B: 39  	 A Winners: [([A],1)]                      	 B Winners: [([A],16)]
A-1 B-3 	 A-3 B-1 	 A: 33  	 B: 31  	 A Winners: [([A,B],4),([B],6)]            	 B Winners: [([A],5),([A,B],4)]
A-1 B-3 	 A-3 B-2 	 A: 57  	 B: 131 	 A Winners: [([A,B],4),([B],17)]           	 B Winners: [([A],17),([A,B],12),([B],14)]
A-1 B-3 	 A-3 B-3 	 A: 1   	 B: 179 	 A Winners: [([A,B],1)]                    	 B Winners: [([A],12),([A,B],13),([B],28)]
A-1 B-3 	 B-1 A-1 	 A: 1   	 B: 9   	 A Winners: [([A,B],1)]                    	 B Winners: [([B],4)]
A-1 B-3 	 B-1 A-2 	 A: 15  	 B: 19  	 A Winners: [([A,B],2),([B],4)]            	 B Winners: [([B],6)]
A-1 B-3 	 B-1 A-3 	 A: 23  	 B: 25  	 A Winners: [([A,B],2),([B],4)]            	 B Winners: [([A],2),([A,B],5)]
A-1 B-3 	 B-1 B-1 	 A: 1   	 B: 3   	 A Winners: [([B],1)]                      	 B Winners: [([B],1)]
A-1 B-3 	 B-1 B-2 	 A: 1   	 B: 5   	 A Winners: [([B],1)]                      	 B Winners: [([B],2)]
A-1 B-3 	 B-1 B-3 	 A: 1   	 B: 5   	 A Winners: [([B],1)]                      	 B Winners: [([B],2)]
A-1 B-3 	 B-2 A-1 	 A: 1   	 B: 21  	 A Winners: [([A,B],1)]                    	 B Winners: [([B],10)]
A-1 B-3 	 B-2 A-2 	 A: 1   	 B: 41  	 A Winners: [([A,B],1)]                    	 B Winners: [([B],15)]
A-1 B-3 	 B-2 A-3 	 A: 33  	 B: 163 	 A Winners: [([A],3),([A,B],1),([B],5)]    	 B Winners: [([A],13),([A,B],13),([B],22)]
A-1 B-3 	 B-2 B-1 	 A: 1   	 B: 5   	 A Winners: [([B],1)]                      	 B Winners: [([B],2)]
A-1 B-3 	 B-2 B-2 	 A: 1   	 B: 7   	 A Winners: [([B],1)]                      	 B Winners: [([B],3)]
A-1 B-3 	 B-2 B-3 	 A: 1   	 B: 7   	 A Winners: [([B],1)]                      	 B Winners: [([B],3)]
A-1 B-3 	 B-3 A-1 	 A: 1   	 B: 25  	 A Winners: [([A,B],1)]                    	 B Winners: [([B],12)]
A-1 B-3 	 B-3 A-2 	 A: 1   	 B: 49  	 A Winners: [([A,B],1)]                    	 B Winners: [([B],20)]
